UN,ISO3,Name,Start,End
788,TUN,Tunisia,1962,Now
792,TUR,Turkey,1962,Now
795,TKM,Turkmenistan,1992,Now
796,TCA,Turks and Caicos Isds,1962,Now
798,TUV,Tuvalu,1962,Now
800,UGA,Uganda,1962,Now
804,UKR,Ukraine,1992,Now
784,ARE,United Arab Emirates,1962,Now
826,GBR,United Kingdom,1962,Now
834,TZA,United Rep. of Tanzania,1965,Now
581,UMI,United States Minor Outlying Islands,1962,Now
858,URY,Uruguay,1962,Now
849,,US Misc. Pacific Isds,1962,1962
850,VIR,US Virgin Isds,1962,1980
842,USA,USA,1981,Now
841,USA,USA (before 1981),1962,1980
860,UZB,Uzbekistan,1992,Now
548,VUT,Vanuatu,1962,Now
862,VEN,Venezuela,1962,Now
704,VNM,Viet Nam,1975,Now
876,WLF,Wallis and Futuna Isds,1962,Now
879,,"Western Asia, nes",1962,2004
732,ESH,Western Sahara,1962,Now
0,,World,1962,Now
887,YEM,Yemen,1991,Now
894,ZMB,Zambia,1965,Now
716,ZWE,Zimbabwe,1965,Now
